rank,id,sideMode,trainScore,robustnessPass,trainTotalReturnPct,trainMaxDrawdownPct,trainSharpe,trainProfitFactor,trainTrades,testTotalReturnPct,testMaxDrawdownPct,testSharpe,testProfitFactor,testTrades,fullTotalReturnPct,fullMaxDrawdownPct,fullSharpe,fullProfitFactor,fullTrades,fullColdTrades,fullColdTotalReturnPct,fullWarmTrades,fullWarmTotalReturnPct,coldMaxWeightedAnomalyF,coldMinCoveragePct,coldMinExtremeCount,warmMinWeightedAnomalyF,warmMinCoveragePct,warmMinExtremeCount
43,combined-coldA-8-coldC0p55-coldE4-warmA12-warmC0p84-warmE0,combined,-18.9245,false,-8.99,-28.07,-0.45,0.79,8,-12.07,-20.75,-0.51,0.69,5,-19.97,-28.07,-0.36,0.74,13,5,9.91,8,-27.19,-8,0.55,4,12,0.84,0
44,combined-coldA-8-coldC0p55-coldE4-warmA12-warmC0p84-warmE4,combined,-18.9245,false,-8.99,-28.07,-0.45,0.79,8,-12.07,-20.75,-0.51,0.69,5,-19.97,-28.07,-0.36,0.74,13,5,9.91,8,-27.19,-8,0.55,4,12,0.84,4
45,combined-coldA-8-coldC0p55-coldE0-warmA8-warmC0p7-warmE0,combined,-19.7245,false,-9.74,-28.07,-0.47,0.78,9,-0.08,-20.75,0.22,1.16,7,-9.81,-28.47,-0.06,0.96,16,5,9.91,11,-17.95,-8,0.55,0,8,0.7,0
46,combined-coldA-8-coldC0p55-coldE0-warmA10-warmC0p7-warmE0,combined,-19.7245,false,-9.74,-28.07,-0.47,0.78,9,-0.08,-20.75,0.22,1.16,7,-9.81,-28.47,-0.06,0.96,16,5,9.91,11,-17.95,-8,0.55,0,10,0.7,0
47,combined-coldA-8-coldC0p55-coldE4-warmA8-warmC0p7-warmE0,combined,-19.7245,false,-9.74,-28.07,-0.47,0.78,9,-0.08,-20.75,0.22,1.16,7,-9.81,-28.47,-0.06,0.96,16,5,9.91,11,-17.95,-8,0.55,4,8,0.7,0
48,combined-coldA-8-coldC0p55-coldE4-warmA10-warmC0p7-warmE0,combined,-19.7245,false,-9.74,-28.07,-0.47,0.78,9,-0.08,-20.75,0.22,1.16,7,-9.81,-28.47,-0.06,0.96,16,5,9.91,11,-17.95,-8,0.55,4,10,0.7,0
49,combined-coldA-8-coldC0p55-coldE8-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-8,0.55,8,10,0.6,0
50,combined-coldA-8-coldC0p55-coldE12-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-8,0.55,12,10,0.6,0
51,combined-coldA-8-coldC0p7-coldE8-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-8,0.7,8,10,0.6,0
52,combined-coldA-8-coldC0p7-coldE12-warmA10-warmC0p6-warmE0,combined,-20.676,false,-12.59,-21.76,-0.54,0.61,9,30.49,-7.46,1.87,3.57,9,14.06,-21.76,0.38,1.44,18,1,19.82,17,-4.81,-8,0.7,12,10,0.6,0
