candidateId,eligible,trainRank,volatilityLookbackSessions,reversalZThreshold,minVolatilityPct,maxVolatilityPct,trainTrades,trainReturnPct,trainSharpe,trainSortino,trainMaxDrawdownPct,trainProfitFactor,profitableTrainYears,trainYearCount,holdoutTrades,holdoutReturnPct,holdoutSharpe,holdoutSortino,holdoutMaxDrawdownPct,holdoutProfitFactor,allTrades,allReturnPct,allSharpe,allSortino,allMaxDrawdownPct
lb30-z1-vol0-8,false,102.492,30,1,0,8,552,24.04,0.31,0.46,-12.32,1.16,14,18,33,4.61,1.33,2.41,-2.08,1.51,585,29.75,0.35,0.52,-12.32
lb30-z1-vol0-99,false,102.492,30,1,0,99,552,24.04,0.31,0.46,-12.32,1.16,14,18,33,4.61,1.33,2.41,-2.08,1.51,585,29.75,0.35,0.52,-12.32
lb30-z1-vol1-8,false,102.492,30,1,1,8,552,24.04,0.31,0.46,-12.32,1.16,14,18,33,4.61,1.33,2.41,-2.08,1.51,585,29.75,0.35,0.52,-12.32
lb30-z1-vol1-99,false,102.492,30,1,1,99,552,24.04,0.31,0.46,-12.32,1.16,14,18,33,4.61,1.33,2.41,-2.08,1.51,585,29.75,0.35,0.52,-12.32
lb40-z0.35-vol2-5,false,102.4127,40,0.35,2,5,988,28.04,0.28,0.42,-21.2,1.1,11,18,46,7.14,2.87,4.34,-2.41,1.71,1034,37.19,0.33,0.5,-21.2
lb30-z0.5-vol2-8,false,101.8738,30,0.5,2,8,918,26.7,0.27,0.41,-16.32,1.1,11,18,57,8.1,1.74,2.76,-4.43,1.5,975,36.96,0.32,0.5,-16.32
lb30-z0.5-vol2-99,false,101.8738,30,0.5,2,99,918,26.7,0.27,0.41,-16.32,1.1,11,18,57,8.1,1.74,2.76,-4.43,1.5,975,36.96,0.32,0.5,-16.32
lb60-z2-vol2.5-5,false,101.3486,60,2,2.5,5,50,10.96,0.44,0.72,-3.32,1.91,10,13,9,5.42,3.76,7.08,-1.34,4.78,59,16.97,0.55,0.97,-3.32
lb40-z0.5-vol0-5,false,100.9791,40,0.5,0,5,941,23.66,0.25,0.39,-14.89,1.1,11,18,39,5.52,2.44,3.47,-2.08,1.66,980,30.49,0.3,0.45,-14.89
lb40-z0.5-vol1-5,false,100.9791,40,0.5,1,5,941,23.66,0.25,0.39,-14.89,1.1,11,18,39,5.52,2.44,3.47,-2.08,1.66,980,30.49,0.3,0.45,-14.89
lb30-z1.5-vol3-4,false,100.942,30,1.5,3,4,56,13.04,0.44,0.77,-5.06,1.86,9,14,4,-0.23,-0.9,-1.36,-0.35,0.5,60,12.77,0.42,0.72,-5.06
lb40-z1-vol3-6,false,100.8028,40,1,3,6,257,23.19,0.39,0.66,-6.74,1.28,10,16,16,6.37,3.52,5.34,-2.08,2.7,273,31.04,0.46,0.78,-6.74
lb40-z0.5-vol0-8,false,100.5749,40,0.5,0,8,1049,23.03,0.23,0.36,-19.29,1.08,12,18,58,9.65,2.07,3.16,-4.43,1.62,1107,34.9,0.3,0.46,-19.29
lb40-z0.5-vol0-99,false,100.5749,40,0.5,0,99,1049,23.03,0.23,0.36,-19.29,1.08,12,18,58,9.65,2.07,3.16,-4.43,1.62,1107,34.9,0.3,0.46,-19.29
lb40-z0.5-vol1-8,false,100.5749,40,0.5,1,8,1049,23.03,0.23,0.36,-19.29,1.08,12,18,58,9.65,2.07,3.16,-4.43,1.62,1107,34.9,0.3,0.46,-19.29
lb40-z0.5-vol1-99,false,100.5749,40,0.5,1,99,1049,23.03,0.23,0.36,-19.29,1.08,12,18,58,9.65,2.07,3.16,-4.43,1.62,1107,34.9,0.3,0.46,-19.29
lb20-z0.5-vol0-4,false,100.3687,20,0.5,0,4,806,24.6,0.29,0.44,-11.57,1.12,9,18,35,1.95,0.73,1.52,-1.66,1.23,841,27.03,0.3,0.46,-11.57
lb20-z0.5-vol1-4,false,100.3687,20,0.5,1,4,806,24.6,0.29,0.44,-11.57,1.12,9,18,35,1.95,0.73,1.52,-1.66,1.23,841,27.03,0.3,0.46,-11.57
lb40-z0.5-vol1.5-5,false,100.3082,40,0.5,1.5,5,937,22.83,0.25,0.38,-14.89,1.09,11,18,39,5.52,2.44,3.47,-2.08,1.66,976,29.61,0.29,0.44,-14.89
lb20-z1.25-vol2.5-5,false,100.2581,20,1.25,2.5,5,210,21.97,0.38,0.57,-5.88,1.33,13,17,19,3.45,1.65,3.1,-1.34,1.92,229,26.18,0.42,0.63,-5.88
