candidateId,eligible,trainValidationRank,architectureId,sourceSetId,sourceWeightMode,sizingMode,anomalyThreshold,coverageThreshold,minConfidence,weatherFraction,reversionFraction,followHoldDays,reversionHoldDays,minRealizedMovePct,volTargetPct,signals,scheduledEvents,executedRows,weatherFollowRows,reversionRows,coldLongRows,warmShortRows,reversionLongRows,reversionShortRows,trainValidationColdLongReturnPct,trainValidationWarmShortReturnPct,trainValidationFollowReturnPct,trainValidationReversionLongReturnPct,trainValidationReversionShortReturnPct,trainValidationReversionReturnPct,holdoutFollowReturnPct,holdoutReversionReturnPct,overlayDays,fallbackDays,trainReturnPct,trainIndexReturnPct,trainEdgePct,trainSharpe,trainMaxDrawdownPct,profitableTrainYears,trainYearCount,validationReturnPct,validationIndexReturnPct,validationEdgePct,validationSharpe,validationMaxDrawdownPct,holdoutReturnPct,holdoutIndexReturnPct,holdoutEdgePct,holdoutSharpe,holdoutMaxDrawdownPct,allReturnPct,allIndexReturnPct,allEdgePct,allSharpe,allMaxDrawdownPct
dual-all-source-consensus-equal-a5-c0.35-q0.35-wf0.25-rf0.2-fh5-rh1-mv2-vol18-vol-target,false,28.8368,dual-weather-follow-and-fade,all-source-consensus,equal,vol-target,5,0.35,0.35,0.25,0.2,5,1,2,18,293,535,252,213,39,39,174,16,23,4.43,-5.96,-1.79,3.28,0.39,3.68,-2.17,5.17,252,1110,32.87,33.7,-0.83,0.57,-26.63,3,4,27.37,29.08,-1.71,0.94,-19.39,18.14,10.94,7.2,1.87,-8.34,99.92,91.47,8.45,0.8,-26.63
dual-all-source-consensus-equal-a5-c0.35-q0.5-wf0.25-rf0.2-fh5-rh1-mv2-vol18-vol-target,false,28.8368,dual-weather-follow-and-fade,all-source-consensus,equal,vol-target,5,0.35,0.5,0.25,0.2,5,1,2,18,293,535,252,213,39,39,174,16,23,4.43,-5.96,-1.79,3.28,0.39,3.68,-2.17,5.17,252,1110,32.87,33.7,-0.83,0.57,-26.63,3,4,27.37,29.08,-1.71,0.94,-19.39,18.14,10.94,7.2,1.87,-8.34,99.92,91.47,8.45,0.8,-26.63
dual-all-source-consensus-bg-shrink-a8-c0.35-q0.35-wf0.15-rf0.2-fh5-rh1-mv4-vol18-vol-target,false,28.8284,dual-weather-follow-and-fade,all-source-consensus,bg-shrink,vol-target,8,0.35,0.35,0.15,0.2,5,1,4,18,249,415,250,218,32,41,177,11,21,4.11,2.4,6.6,-0.23,-4.34,-4.56,-2.72,3.3,250,1112,34.3,33.7,0.6,0.59,-26.63,3,4,27.35,29.08,-1.73,0.94,-19.69,15.51,10.94,4.57,1.65,-8.55,97.56,91.47,6.09,0.79,-26.63
dual-all-source-consensus-bg-shrink-a8-c0.35-q0.5-wf0.15-rf0.2-fh5-rh1-mv4-vol18-vol-target,false,28.8284,dual-weather-follow-and-fade,all-source-consensus,bg-shrink,vol-target,8,0.35,0.5,0.15,0.2,5,1,4,18,249,415,250,218,32,41,177,11,21,4.11,2.4,6.6,-0.23,-4.34,-4.56,-2.72,3.3,250,1112,34.3,33.7,0.6,0.59,-26.63,3,4,27.35,29.08,-1.73,0.94,-19.69,15.51,10.94,4.57,1.65,-8.55,97.56,91.47,6.09,0.79,-26.63
dual-all-source-consensus-equal-a5-c0.35-q0.35-wf0.25-rf0.2-fh3-rh1-mv2-vol24-vol-target,false,28.828,dual-weather-follow-and-fade,all-source-consensus,equal,vol-target,5,0.35,0.35,0.25,0.2,3,1,2,24,293,533,243,195,48,37,158,24,24,8.61,1.37,10.11,-2.69,-2.64,-5.26,0.07,-5.9,243,1119,36.21,33.7,2.51,0.61,-26.63,3,4,25.62,29.08,-3.46,0.89,-20.15,11.25,10.94,0.31,1.23,-9.57,90.35,91.47,-1.12,0.75,-26.63
dual-all-source-consensus-equal-a5-c0.35-q0.5-wf0.25-rf0.2-fh3-rh1-mv2-vol24-vol-target,false,28.828,dual-weather-follow-and-fade,all-source-consensus,equal,vol-target,5,0.35,0.5,0.25,0.2,3,1,2,24,293,533,243,195,48,37,158,24,24,8.61,1.37,10.11,-2.69,-2.64,-5.26,0.07,-5.9,243,1119,36.21,33.7,2.51,0.61,-26.63,3,4,25.62,29.08,-3.46,0.89,-20.15,11.25,10.94,0.31,1.23,-9.57,90.35,91.47,-1.12,0.75,-26.63
dual-all-source-consensus-bg-shrink-a8-c0.5-q0.35-wf0.15-rf0.2-fh5-rh1-mv4-vol18-vol-target,false,28.8274,dual-weather-follow-and-fade,all-source-consensus,bg-shrink,vol-target,8,0.5,0.35,0.15,0.2,5,1,4,18,230,385,250,218,32,41,177,11,21,4.11,2.41,6.62,-0.23,-4.35,-4.58,-2.72,3.3,250,1112,34.29,33.7,0.59,0.59,-26.63,3,4,27.36,29.08,-1.72,0.94,-19.7,15.51,10.94,4.57,1.65,-8.55,97.56,91.47,6.09,0.79,-26.63
dual-all-source-consensus-bg-shrink-a8-c0.5-q0.5-wf0.15-rf0.2-fh5-rh1-mv4-vol18-vol-target,false,28.8274,dual-weather-follow-and-fade,all-source-consensus,bg-shrink,vol-target,8,0.5,0.5,0.15,0.2,5,1,4,18,230,385,250,218,32,41,177,11,21,4.11,2.41,6.62,-0.23,-4.35,-4.58,-2.72,3.3,250,1112,34.29,33.7,0.59,0.59,-26.63,3,4,27.36,29.08,-1.72,0.94,-19.7,15.51,10.94,4.57,1.65,-8.55,97.56,91.47,6.09,0.79,-26.63
dual-ncep-complex-bg-shrink-a8-c0.35-q0.5-wf0.15-rf0.2-fh5-rh2-mv4-vol0-confidence-scaled,false,28.8215,dual-weather-follow-and-fade,ncep-complex,bg-shrink,confidence-scaled,8,0.35,0.5,0.15,0.2,5,2,4,0,470,772,532,430,102,59,371,43,59,4.61,20.02,25.56,-0.71,-6.06,-6.73,2.11,0.61,532,830,31.66,33.7,-2.04,0.56,-33.27,3,4,22.06,29.08,-7.02,0.78,-21.96,17.96,10.94,7.02,1.59,-9.03,89.56,91.47,-1.91,0.74,-33.27
dual-gfs-gefs-core-bg-shrink-a8-c0.5-q0.35-wf0.15-rf0.2-fh5-rh2-mv2-vol0-confidence-scaled,false,28.8199,dual-weather-follow-and-fade,gfs-gefs-core,bg-shrink,confidence-scaled,8,0.5,0.35,0.15,0.2,5,2,2,0,400,735,519,406,113,58,348,50,63,4.01,13.4,17.95,1.5,0.27,1.77,1.93,3.35,519,843,26.49,33.7,-7.21,0.49,-31.27,3,4,23.56,29.08,-5.52,0.82,-21.12,21.3,10.94,10.36,1.89,-8,89.58,91.47,-1.89,0.74,-31.27
