candidateId,eligible,trainValidationRank,architectureId,sourceSetId,sizingMode,anomalyThreshold,coverageThreshold,minConfidence,weatherFraction,reversionFraction,followHoldDays,reversionHoldDays,minRealizedMovePct,signals,events,overlayDays,fallbackDays,trainReturnPct,trainIndexReturnPct,trainEdgePct,trainSharpe,trainMaxDrawdownPct,profitableTrainYears,trainYearCount,validationReturnPct,validationIndexReturnPct,validationEdgePct,validationSharpe,validationMaxDrawdownPct,holdoutReturnPct,holdoutIndexReturnPct,holdoutEdgePct,holdoutSharpe,holdoutMaxDrawdownPct,allReturnPct,allIndexReturnPct,allEdgePct,allSharpe,allMaxDrawdownPct
fade-only-long-history-core-a5-c0.35-q0.5-wf0.25-rf0.2-fh5-rh1-mv4-fixed,true,33.2135,fade-only,long-history-core,fixed,5,0.35,0.5,0.25,0.2,5,1,4,286,188,126,1236,29.13,33.7,-4.57,0.52,-26.63,3,4,37.15,29.08,8.07,1.19,-19.74,17.77,10.94,6.83,1.65,-8.08,108.55,91.47,17.08,0.84,-26.63
fade-only-long-history-core-a5-c0.35-q0.5-wf0.4-rf0.2-fh5-rh1-mv4-fixed,true,33.2135,fade-only,long-history-core,fixed,5,0.35,0.5,0.4,0.2,5,1,4,286,188,126,1236,29.13,33.7,-4.57,0.52,-26.63,3,4,37.15,29.08,8.07,1.19,-19.74,17.77,10.94,6.83,1.65,-8.08,108.55,91.47,17.08,0.84,-26.63
fade-only-long-history-core-a5-c0.35-q0.5-wf0.25-rf0.2-fh5-rh1-mv4-confidence-scaled,true,33.2135,fade-only,long-history-core,confidence-scaled,5,0.35,0.5,0.25,0.2,5,1,4,286,188,126,1236,29.13,33.7,-4.57,0.52,-26.63,3,4,37.15,29.08,8.07,1.19,-19.74,17.72,10.94,6.78,1.65,-8.08,108.47,91.47,17,0.84,-26.63
fade-only-long-history-core-a5-c0.35-q0.5-wf0.4-rf0.2-fh5-rh1-mv4-confidence-scaled,true,33.2135,fade-only,long-history-core,confidence-scaled,5,0.35,0.5,0.4,0.2,5,1,4,286,188,126,1236,29.13,33.7,-4.57,0.52,-26.63,3,4,37.15,29.08,8.07,1.19,-19.74,17.72,10.94,6.78,1.65,-8.08,108.47,91.47,17,0.84,-26.63
fade-only-long-history-core-a8-c0.35-q0.35-wf0.25-rf0.2-fh5-rh1-mv2-confidence-scaled,true,33.04,fade-only,long-history-core,confidence-scaled,8,0.35,0.35,0.25,0.2,5,1,2,236,195,144,1218,28.17,33.7,-5.53,0.51,-26.63,3,4,37.52,29.08,8.44,1.18,-18.94,17.33,10.94,6.39,1.61,-8.03,106.81,91.47,15.34,0.83,-26.63
fade-only-long-history-core-a8-c0.35-q0.35-wf0.4-rf0.2-fh5-rh1-mv2-confidence-scaled,true,33.04,fade-only,long-history-core,confidence-scaled,8,0.35,0.35,0.4,0.2,5,1,2,236,195,144,1218,28.17,33.7,-5.53,0.51,-26.63,3,4,37.52,29.08,8.44,1.18,-18.94,17.33,10.94,6.39,1.61,-8.03,106.81,91.47,15.34,0.83,-26.63
fade-only-long-history-core-a8-c0.35-q0.5-wf0.25-rf0.2-fh5-rh1-mv2-confidence-scaled,true,33.04,fade-only,long-history-core,confidence-scaled,8,0.35,0.5,0.25,0.2,5,1,2,236,195,144,1218,28.17,33.7,-5.53,0.51,-26.63,3,4,37.52,29.08,8.44,1.18,-18.94,17.33,10.94,6.39,1.61,-8.03,106.81,91.47,15.34,0.83,-26.63
fade-only-long-history-core-a8-c0.35-q0.5-wf0.4-rf0.2-fh5-rh1-mv2-confidence-scaled,true,33.04,fade-only,long-history-core,confidence-scaled,8,0.35,0.5,0.4,0.2,5,1,2,236,195,144,1218,28.17,33.7,-5.53,0.51,-26.63,3,4,37.52,29.08,8.44,1.18,-18.94,17.33,10.94,6.39,1.61,-8.03,106.81,91.47,15.34,0.83,-26.63
fade-only-all-source-consensus-a5-c0.5-q0.35-wf0.25-rf0.2-fh3-rh1-mv4-confidence-scaled,true,32.9768,fade-only,all-source-consensus,confidence-scaled,5,0.5,0.35,0.25,0.2,3,1,4,252,142,103,1259,34.55,33.7,0.85,0.59,-26.63,3,4,35.5,29.08,6.42,1.14,-21.02,22.26,10.94,11.32,2.09,-5.73,122.89,91.47,31.42,0.91,-26.63
fade-only-all-source-consensus-a5-c0.5-q0.35-wf0.4-rf0.2-fh3-rh1-mv4-confidence-scaled,true,32.9768,fade-only,all-source-consensus,confidence-scaled,5,0.5,0.35,0.4,0.2,3,1,4,252,142,103,1259,34.55,33.7,0.85,0.59,-26.63,3,4,35.5,29.08,6.42,1.14,-21.02,22.26,10.94,11.32,2.09,-5.73,122.89,91.47,31.42,0.91,-26.63
fade-only-all-source-consensus-a5-c0.5-q0.5-wf0.25-rf0.2-fh3-rh1-mv4-confidence-scaled,true,32.9768,fade-only,all-source-consensus,confidence-scaled,5,0.5,0.5,0.25,0.2,3,1,4,252,142,103,1259,34.55,33.7,0.85,0.59,-26.63,3,4,35.5,29.08,6.42,1.14,-21.02,22.26,10.94,11.32,2.09,-5.73,122.89,91.47,31.42,0.91,-26.63
fade-only-all-source-consensus-a5-c0.5-q0.5-wf0.4-rf0.2-fh3-rh1-mv4-confidence-scaled,true,32.9768,fade-only,all-source-consensus,confidence-scaled,5,0.5,0.5,0.4,0.2,3,1,4,252,142,103,1259,34.55,33.7,0.85,0.59,-26.63,3,4,35.5,29.08,6.42,1.14,-21.02,22.26,10.94,11.32,2.09,-5.73,122.89,91.47,31.42,0.91,-26.63
fade-only-all-source-consensus-a5-c0.5-q0.35-wf0.25-rf0.2-fh3-rh1-mv4-fixed,true,32.9093,fade-only,all-source-consensus,fixed,5,0.5,0.35,0.25,0.2,3,1,4,252,142,103,1259,34.55,33.7,0.85,0.59,-26.63,3,4,35.45,29.08,6.37,1.14,-21.02,22.26,10.94,11.32,2.09,-5.73,122.8,91.47,31.33,0.91,-26.63
fade-only-all-source-consensus-a5-c0.5-q0.35-wf0.4-rf0.2-fh3-rh1-mv4-fixed,true,32.9093,fade-only,all-source-consensus,fixed,5,0.5,0.35,0.4,0.2,3,1,4,252,142,103,1259,34.55,33.7,0.85,0.59,-26.63,3,4,35.45,29.08,6.37,1.14,-21.02,22.26,10.94,11.32,2.09,-5.73,122.8,91.47,31.33,0.91,-26.63
fade-only-all-source-consensus-a5-c0.5-q0.5-wf0.25-rf0.2-fh3-rh1-mv4-fixed,true,32.9093,fade-only,all-source-consensus,fixed,5,0.5,0.5,0.25,0.2,3,1,4,252,142,103,1259,34.55,33.7,0.85,0.59,-26.63,3,4,35.45,29.08,6.37,1.14,-21.02,22.26,10.94,11.32,2.09,-5.73,122.8,91.47,31.33,0.91,-26.63
fade-only-all-source-consensus-a5-c0.5-q0.5-wf0.4-rf0.2-fh3-rh1-mv4-fixed,true,32.9093,fade-only,all-source-consensus,fixed,5,0.5,0.5,0.4,0.2,3,1,4,252,142,103,1259,34.55,33.7,0.85,0.59,-26.63,3,4,35.45,29.08,6.37,1.14,-21.02,22.26,10.94,11.32,2.09,-5.73,122.8,91.47,31.33,0.91,-26.63
fade-only-long-history-core-a8-c0.35-q0.35-wf0.25-rf0.2-fh5-rh1-mv2-fixed,true,32.8645,fade-only,long-history-core,fixed,8,0.35,0.35,0.25,0.2,5,1,2,236,195,144,1218,28.17,33.7,-5.53,0.51,-26.63,3,4,37.39,29.08,8.31,1.18,-18.94,17.33,10.94,6.39,1.61,-8.03,106.61,91.47,15.14,0.83,-26.63
fade-only-long-history-core-a8-c0.35-q0.35-wf0.4-rf0.2-fh5-rh1-mv2-fixed,true,32.8645,fade-only,long-history-core,fixed,8,0.35,0.35,0.4,0.2,5,1,2,236,195,144,1218,28.17,33.7,-5.53,0.51,-26.63,3,4,37.39,29.08,8.31,1.18,-18.94,17.33,10.94,6.39,1.61,-8.03,106.61,91.47,15.14,0.83,-26.63
