windowSet,eventId,windowId,windowStartDate,windowEndDate,eventStartDate,eventEndDate,eventPeakDate,minWeightedAnomalyF,maxCoveragePct,qualifyingDays,symbol,priorTradeDate,firstTradeDate,lastTradeDate,tradingDays,priorClose,firstClose,lastClose,returnPctPrevCloseToEnd,returnPctFirstCloseToEnd,tradeQuestion
heating-season-events,actual-heating-cold-9,event,2023-03-18,2023-03-19,2023-03-18,2023-03-19,2023-03-19,-11.59,0.651,2,UNG,2023-03-17,2023-03-20,2023-03-17,0,31.200001,29.84,31.200001,0,4.558,What happened while the actual cold event was present?
heating-season-events,actual-heating-cold-9,event,2023-03-18,2023-03-19,2023-03-18,2023-03-19,2023-03-19,-11.59,0.651,2,NG=F,2023-03-17,2023-03-20,2023-03-17,0,2.338,2.223,2.338,0,5.173,What happened while the actual cold event was present?
heating-season-events,actual-heating-cold-10,rumor,2023-10-22,2023-10-25,2023-11-01,2023-11-01,2023-11-01,-11.47,0.811,1,UNG,2023-10-20,2023-10-23,2023-10-25,3,27.120001,27.24,28.280001,4.277,3.818,Did broad 7-10 day forecast cold bid UNG before the event?
heating-season-events,actual-heating-cold-10,rumor,2023-10-22,2023-10-25,2023-11-01,2023-11-01,2023-11-01,-11.47,0.811,1,NG=F,2023-10-20,2023-10-23,2023-10-25,3,2.899,2.926,3.01,3.829,2.871,Did broad 7-10 day forecast cold bid UNG before the event?
heating-season-events,actual-heating-cold-10,selloff,2023-10-29,2023-10-31,2023-11-01,2023-11-01,2023-11-01,-11.47,0.811,1,UNG,2023-10-27,2023-10-30,2023-10-31,2,28.799999,27.799999,30,4.167,7.914,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
heating-season-events,actual-heating-cold-10,selloff,2023-10-29,2023-10-31,2023-11-01,2023-11-01,2023-11-01,-11.47,0.811,1,NG=F,2023-10-27,2023-10-30,2023-10-31,2,3.164,3.352,3.575,12.99,6.653,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
heating-season-events,actual-heating-cold-10,event,2023-11-01,2023-11-01,2023-11-01,2023-11-01,2023-11-01,-11.47,0.811,1,UNG,2023-10-31,2023-11-01,2023-11-01,1,30,29.08,29.08,-3.067,0,What happened while the actual cold event was present?
heating-season-events,actual-heating-cold-10,event,2023-11-01,2023-11-01,2023-11-01,2023-11-01,2023-11-01,-11.47,0.811,1,NG=F,2023-10-31,2023-11-01,2023-11-01,1,3.575,3.494,3.494,-2.266,0,What happened while the actual cold event was present?
heating-season-events,actual-heating-cold-11,rumor,2023-11-18,2023-11-21,2023-11-28,2023-11-28,2023-11-28,-9.69,0.849,1,UNG,2023-11-17,2023-11-20,2023-11-21,2,24.639999,23.959999,23.559999,-4.383,-1.669,Did broad 7-10 day forecast cold bid UNG before the event?
heating-season-events,actual-heating-cold-11,rumor,2023-11-18,2023-11-21,2023-11-28,2023-11-28,2023-11-28,-9.69,0.849,1,NG=F,2023-11-17,2023-11-20,2023-11-21,2,2.96,2.882,2.846,-3.851,-1.249,Did broad 7-10 day forecast cold bid UNG before the event?
heating-season-events,actual-heating-cold-11,selloff,2023-11-25,2023-11-27,2023-11-28,2023-11-28,2023-11-28,-9.69,0.849,1,UNG,2023-11-24,2023-11-27,2023-11-27,1,23.639999,23.200001,23.200001,-1.861,0,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
heating-season-events,actual-heating-cold-11,selloff,2023-11-25,2023-11-27,2023-11-28,2023-11-28,2023-11-28,-9.69,0.849,1,NG=F,2023-11-24,2023-11-27,2023-11-27,1,2.855,2.794,2.794,-2.137,0,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
heating-season-events,actual-heating-cold-11,event,2023-11-28,2023-11-28,2023-11-28,2023-11-28,2023-11-28,-9.69,0.849,1,UNG,2023-11-27,2023-11-28,2023-11-28,1,23.200001,22.08,22.08,-4.828,0,What happened while the actual cold event was present?
heating-season-events,actual-heating-cold-11,event,2023-11-28,2023-11-28,2023-11-28,2023-11-28,2023-11-28,-9.69,0.849,1,NG=F,2023-11-27,2023-11-28,2023-11-28,1,2.794,2.706,2.706,-3.15,0,What happened while the actual cold event was present?
heating-season-events,actual-heating-cold-12,rumor,2024-01-04,2024-01-07,2024-01-14,2024-01-17,2024-01-16,-12.95,0.83,4,UNG,2024-01-03,2024-01-04,2024-01-05,2,21.76,23.08,23.360001,7.353,1.213,Did broad 7-10 day forecast cold bid UNG before the event?
heating-season-events,actual-heating-cold-12,rumor,2024-01-04,2024-01-07,2024-01-14,2024-01-17,2024-01-16,-12.95,0.83,4,NG=F,2024-01-03,2024-01-04,2024-01-05,2,2.668,2.821,2.893,8.433,2.552,Did broad 7-10 day forecast cold bid UNG before the event?
heating-season-events,actual-heating-cold-12,selloff,2024-01-11,2024-01-13,2024-01-14,2024-01-17,2024-01-16,-12.95,0.83,4,UNG,2024-01-10,2024-01-11,2024-01-12,2,24.6,25.16,27.280001,10.894,8.426,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
heating-season-events,actual-heating-cold-12,selloff,2024-01-11,2024-01-13,2024-01-14,2024-01-17,2024-01-16,-12.95,0.83,4,NG=F,2024-01-10,2024-01-11,2024-01-12,2,3.039,3.097,3.313,9.016,6.974,Did UNG fade in the 1-3 day buy-the-rumor/sell-the-news window?
heating-season-events,actual-heating-cold-12,event,2024-01-14,2024-01-17,2024-01-14,2024-01-17,2024-01-16,-12.95,0.83,4,UNG,2024-01-12,2024-01-16,2024-01-17,2,27.280001,23.120001,23.280001,-14.663,0.692,What happened while the actual cold event was present?
heating-season-events,actual-heating-cold-12,event,2024-01-14,2024-01-17,2024-01-14,2024-01-17,2024-01-16,-12.95,0.83,4,NG=F,2024-01-12,2024-01-16,2024-01-17,2,3.313,2.9,2.87,-13.372,-1.034,What happened while the actual cold event was present?
heating-season-events,actual-heating-cold-13,rumor,2024-01-10,2024-01-13,2024-01-20,2024-01-20,2024-01-20,-13.87,0.887,1,UNG,2024-01-09,2024-01-10,2024-01-12,3,25.92,24.6,27.280001,5.247,10.894,Did broad 7-10 day forecast cold bid UNG before the event?
heating-season-events,actual-heating-cold-13,rumor,2024-01-10,2024-01-13,2024-01-20,2024-01-20,2024-01-20,-13.87,0.887,1,NG=F,2024-01-09,2024-01-10,2024-01-12,3,3.19,3.039,3.313,3.856,9.016,Did broad 7-10 day forecast cold bid UNG before the event?
