date,symbol,weightedAnomalyF,coveragePct,extremeCount,sampledWeight,locationCount,heatingSeason,qualifies,open,close,volume,storageBcf,dailyReturnPct
2025-08-20,NG=F,0.63,0,0,1.06,18,false,false,2.757,2.752,121113,3199,-0.506
2025-08-21,UNG,-0.98,0,0,1.06,18,false,false,12.24,12.4,7945600,3199,2.226
2025-08-21,NG=F,-0.98,0,0,1.06,18,false,false,2.765,2.826,115270,3199,2.689
2025-08-22,UNG,-0.56,0,0,1.06,18,false,false,12.18,11.91,11972100,3217,-3.952
2025-08-22,NG=F,-0.56,0,0,1.06,18,false,false,2.813,2.698,79364,3217,-4.529
2025-08-25,UNG,-3.26,0.302,0,1.06,18,false,false,11.75,11.95,9579400,3217,0.336
2025-08-25,NG=F,-3.26,0.302,0,1.06,18,false,false,2.639,2.696,60316,3217,-0.074
2025-08-26,UNG,-5.52,0.236,0,1.06,18,false,false,11.9,11.97,8306100,3217,0.167
2025-08-26,NG=F,-5.52,0.236,0,1.06,18,false,false,2.711,2.717,70243,3217,0.779
2025-08-27,UNG,-5.56,0.226,0,1.06,18,false,false,12.29,12.19,8508900,3217,1.838
2025-08-27,NG=F,-5.56,0.226,0,1.06,18,false,false,2.738,2.867,162239,3217,5.521
2025-08-28,UNG,-4.77,0.142,0,1.06,18,false,false,12.25,12.57,11814000,3217,3.117
2025-08-28,NG=F,-4.77,0.142,0,1.06,18,false,false,2.874,2.944,186265,3217,2.686
2025-08-29,UNG,-4.21,0.151,0,1.06,18,false,false,12.65,12.83,10891300,3262,2.068
2025-08-29,NG=F,-4.21,0.151,0,1.06,18,false,false,2.985,2.997,0,3262,1.8
2025-09-02,UNG,-2.49,0.047,0,1.06,18,false,false,12.45,12.78,12009900,3262,-0.39
2025-09-02,NG=F,-2.49,0.047,0,1.06,18,false,false,2.972,3.009,226571,3262,0.4
2025-09-03,UNG,-2.29,0.066,0,1.06,18,false,false,13.14,13.06,9138500,3262,2.191
2025-09-03,NG=F,-2.29,0.066,0,1.06,18,false,false,2.992,3.064,187561,3262,1.828
2025-09-04,UNG,-3.12,0.113,1,1.06,18,false,false,13.16,13.1,8296000,3262,0.306
2025-09-04,NG=F,-3.12,0.113,1,1.06,18,false,false,3.075,3.074,165913,3262,0.326
2025-09-05,UNG,-0.89,0.104,1,1.06,18,false,false,13.22,12.94,8096400,3333,-1.221
2025-09-05,NG=F,-0.89,0.104,1,1.06,18,false,false,3.078,3.048,130911,3333,-0.846
2025-09-08,UNG,-5.87,0.274,0,1.06,18,false,false,13.41,13.16,8776000,3333,1.7
2025-09-08,NG=F,-5.87,0.274,0,1.06,18,false,false,3.087,3.09,200532,3333,1.378
2025-09-09,UNG,-4.1,0.047,0,1.06,18,false,false,13.28,13.26,8336300,3333,0.76
2025-09-09,NG=F,-4.1,0.047,0,1.06,18,false,false,3.098,3.117,181519,3333,0.874
2025-09-10,UNG,-1.2,0,0,1.06,18,false,false,12.94,12.88,5923300,3333,-2.866
2025-09-10,NG=F,-1.2,0,0,1.06,18,false,false,3.107,3.029,171976,3333,-2.823
2025-09-11,UNG,1.73,0,0,1.06,18,false,false,12.79,12.42,8531900,3333,-3.571
2025-09-11,NG=F,1.73,0,0,1.06,18,false,false,3.029,2.934,199072,3333,-3.136
2025-09-12,UNG,2.45,0,0,1.06,18,false,false,12.72,12.51,5782200,3423,0.725
2025-09-12,NG=F,2.45,0,0,1.06,18,false,false,2.918,2.941,160049,3423,0.239
2025-09-15,UNG,4.63,0,0,1.06,18,false,false,12.62,12.91,7179400,3423,3.197
2025-09-15,NG=F,4.63,0,0,1.06,18,false,false,2.951,3.043,152709,3423,3.468
2025-09-16,UNG,3.43,0,0,1.06,18,false,false,13.02,13.22,7302500,3423,2.401
2025-09-16,NG=F,3.43,0,0,1.06,18,false,false,3.045,3.103,166585,3423,1.972
2025-09-17,UNG,3.97,0,0,1.06,18,false,false,13.35,13.1,6572900,3423,-0.908
2025-09-17,NG=F,3.97,0,0,1.06,18,false,false,3.117,3.1,132465,3423,-0.097
2025-09-18,UNG,6.11,0,0,1.06,18,false,false,13,12.67,9211000,3423,-3.282
2025-09-18,NG=F,6.11,0,0,1.06,18,false,false,3.076,2.939,180476,3423,-5.194
2025-09-19,UNG,7.38,0,0,1.06,18,false,false,12.51,12.57,7616800,3499,-0.789
2025-09-19,NG=F,7.38,0,0,1.06,18,false,false,2.939,2.888,142217,3499,-1.735
2025-09-22,UNG,4.78,0,0,1.06,18,false,false,12.49,12.15,8917200,3499,-3.341
2025-09-22,NG=F,4.78,0,0,1.06,18,false,false,2.909,2.806,163184,3499,-2.839
2025-09-23,UNG,6.68,0,0,1.06,18,false,false,12.08,12.36,5679500,3499,1.728
2025-09-23,NG=F,6.68,0,0,1.06,18,false,false,2.806,2.853,70892,3499,1.675
2025-09-24,UNG,6.57,0,0,1.06,18,false,false,12.25,12.36,6307100,3499,0
2025-09-24,NG=F,6.57,0,0,1.06,18,false,false,2.863,2.858,55699,3499,0.175
2025-09-25,UNG,6.38,0,0,1.06,18,false,false,12.7,12.59,13007000,3499,1.861
2025-09-25,NG=F,6.38,0,0,1.06,18,false,false,2.879,2.904,74214,3499,1.61
2025-09-26,UNG,6.21,0,0,1.06,18,false,false,12.39,12.47,8745700,3551,-0.953
2025-09-26,NG=F,6.21,0,0,1.06,18,false,false,2.912,2.835,168752,3551,-2.376
2025-09-29,UNG,8.75,0,0,1.06,18,false,false,12.5,12.82,10866800,3551,2.807
2025-09-29,NG=F,8.75,0,0,1.06,18,false,false,3.149,3.267,166628,3551,15.238
2025-09-30,UNG,8.36,0,0,1.06,18,false,false,13.02,13.07,8161700,3551,1.95
2025-09-30,NG=F,8.36,0,0,1.06,18,false,false,3.279,3.303,162025,3551,1.102
2025-10-01,UNG,6.11,0,0,1.06,18,false,false,13.16,13.62,12776300,3551,4.208
2025-10-01,NG=F,6.11,0,0,1.06,18,false,false,3.331,3.476,240703,3551,5.238
2025-10-02,UNG,4.47,0,0,1.06,18,false,false,13.67,13.45,12824100,3551,-1.248
2025-10-02,NG=F,4.47,0,0,1.06,18,false,false,3.457,3.442,259354,3551,-0.978
2025-10-03,UNG,5.91,0,0,1.06,18,false,false,13.37,13.05,12367000,3631,-2.974
2025-10-03,NG=F,5.91,0,0,1.06,18,false,false,3.413,3.324,217261,3631,-3.428
2025-10-06,UNG,9.03,0,0,1.06,18,false,false,13.36,13.3,11112100,3631,1.916
2025-10-06,NG=F,9.03,0,0,1.06,18,false,false,3.3,3.357,165229,3631,0.993
2025-10-07,UNG,8.01,0,0,1.06,18,false,false,13.52,13.78,13272100,3631,3.609
2025-10-07,NG=F,8.01,0,0,1.06,18,false,false,3.398,3.498,230258,3631,4.2
2025-10-08,UNG,4.23,0,0,1.06,18,false,false,13.53,13.1,12162800,3631,-4.935
2025-10-08,NG=F,4.23,0,0,1.06,18,false,false,3.524,3.333,242687,3631,-4.717
2025-10-09,UNG,-0.66,0,0,1.06,18,false,false,13.23,12.74,12023300,3631,-2.748
2025-10-09,NG=F,-0.66,0,0,1.06,18,false,false,3.336,3.269,198680,3631,-1.92
2025-10-10,UNG,0.44,0,0,1.06,18,false,false,12.46,12.33,14857800,3712,-3.218
2025-10-10,NG=F,0.44,0,0,1.06,18,false,false,3.239,3.106,195346,3712,-4.986
2025-10-13,UNG,4.36,0,0,1.06,18,false,false,12.02,12.18,15572900,3712,-1.217
2025-10-13,NG=F,4.36,0,0,1.06,18,false,false,3.1,3.118,195346,3712,0.386
2025-10-14,UNG,5.56,0,0,1.06,18,false,false,11.97,11.95,12624900,3712,-1.888
2025-10-14,NG=F,5.56,0,0,1.06,18,false,false,3.103,3.028,150478,3712,-2.886
2025-10-15,UNG,5.99,0,0,1.06,18,false,false,11.91,11.88,13214000,3712,-0.586
