scenario,date,split,componentVariant,weatherResolutionAction,weatherResolutionScale,position,indexFraction,ungReturnPct,indexReturnPct,grossReturnPct,tradingCostPct,returnPct
current replay from positions,2024-03-05,train,winter-alpha,missing-kept,1,-0.5625,0.4375,1.2139,-1.1576,-1.1893,0.008,-1.1973
current replay from positions,2024-03-06,train,winter-alpha,adverse-shrunk,0.8649,-0.5625,0.4375,-1.2564,0.5531,0.9487,0,0.9487
current replay from positions,2024-03-07,train,winter-alpha,missing-kept,1,-0.5625,0.4375,-7.2875,1.0932,4.5775,0,4.5775
current replay from positions,2024-03-08,train,winter-alpha,missing-kept,1,-0.5625,0.4375,0.6238,-0.7741,-0.6896,0,-0.6896
current replay from positions,2024-03-11,train,winter-alpha,no-reversion,1,0,1,-2.7278,-0.1394,-0.1394,0.018,-0.1574
current replay from positions,2024-03-12,validation,summer-alpha,,1,0,1,-2.5583,1.1394,1.1394,0,1.1394
current replay from positions,2024-03-13,validation,summer-alpha,,1,0,1,-3.2672,-0.2735,-0.2735,0,-0.2735
current replay from positions,2024-03-14,validation,summer-alpha,,1,0,1,5.006,-0.2229,-0.2229,0,-0.2229
current replay from positions,2024-03-15,validation,summer-alpha,,1,0,1,-4.9397,-0.7911,-0.7911,0,-0.7911
current replay from positions,2024-03-18,validation,summer-alpha,,1,0,1,2.9003,0.6905,0.6905,0,0.6905
current replay from positions,2024-03-19,validation,summer-alpha,,1,0,1,2.4075,0.4972,0.4972,0,0.4972
current replay from positions,2024-03-20,validation,summer-alpha,,1,0,1,-2.5803,0.9375,0.9375,0,0.9375
current replay from positions,2024-03-21,validation,summer-alpha,,1,0,1,-0.9417,0.3577,0.3577,0,0.3577
current replay from positions,2024-03-22,validation,summer-alpha,,1,0,1,-1.426,-0.086,-0.086,0,-0.086
current replay from positions,2024-03-25,validation,summer-alpha,,1,0,1,-2.6522,-0.2713,-0.2713,0,-0.2713
current replay from positions,2024-03-26,validation,summer-alpha,,1,0,1,-2.4768,-0.2899,-0.2899,0,-0.2899
current replay from positions,2024-03-27,validation,summer-alpha,,1,0,1,9.0794,0.7717,0.7717,0,0.7717
current replay from positions,2024-03-28,train,winter-alpha,adverse-shrunk,0.8251,0.2063,0.7937,1.5331,-0.0515,0.2754,0.0066,0.2688
current replay from positions,2024-04-01,validation,winter-alpha,no-reversion,1,0,1,5.628,-0.0589,-0.0589,0.0066,-0.0655
current replay from positions,2024-04-02,validation,summer-alpha,,1,0,1,1.3609,-0.6991,-0.6991,0,-0.6991
current replay from positions,2024-04-03,validation,summer-alpha,,1,0,1,-1.1278,0.1173,0.1173,0,0.1173
current replay from positions,2024-04-04,validation,summer-alpha,,1,0,1,-3.6393,-1.2922,-1.2922,0,-1.2922
current replay from positions,2024-04-05,validation,summer-alpha,,1,0,1,0.6201,1.0868,1.0868,0,1.0868
current replay from positions,2024-04-08,validation,summer-alpha,,1,0,1,3.3053,0.0396,0.0396,0,0.0396
current replay from positions,2024-04-09,validation,summer-alpha,,1,0,1,1.5184,0.1696,0.1696,0,0.1696
current replay from positions,2024-04-10,validation,summer-alpha,,1,0,1,0.6944,-0.947,-0.947,0,-0.947
current replay from positions,2024-04-11,validation,summer-alpha,,1,0,1,-6.4191,0.8998,0.8998,0,0.8998
current replay from positions,2024-04-12,validation,summer-alpha,,1,0,1,0.3401,-1.4136,-1.4136,0,-1.4136
current replay from positions,2024-04-15,validation,summer-alpha,,1,0,1,-4.4633,-1.3448,-1.3448,0,-1.3448
current replay from positions,2024-04-16,validation,summer-alpha,,1,0,1,2.4246,-0.1421,-0.1421,0,-0.1421
current replay from positions,2024-04-17,validation,summer-alpha,,1,0,1,-1.1547,-0.7236,-0.7236,0,-0.7236
current replay from positions,2024-04-18,validation,summer-alpha,,1,0,1,2.6285,-0.2933,-0.2933,0,-0.2933
current replay from positions,2024-04-19,validation,summer-alpha,,1,0,1,-0.2846,-1.086,-1.086,0,-1.086
current replay from positions,2024-04-22,validation,summer-alpha,,1,0,1,2.226,0.896,0.896,0,0.896
current replay from positions,2024-04-23,validation,summer-alpha,,1,0,1,1.1725,1.305,1.305,0,1.305
current replay from positions,2024-04-24,validation,summer-alpha,,1,0,1,-8.7748,0.0089,0.0089,0,0.0089
current replay from positions,2024-04-25,validation,summer-alpha,,1,0.35,0.65,-0.9074,-0.4264,-0.5947,0.0112,-0.6059
current replay from positions,2024-04-26,validation,summer-alpha,,1,0.35,0.65,-1.4652,1.1099,0.2086,0,0.2086
current replay from positions,2024-04-29,validation,summer-alpha,,1,0.35,0.65,25.7745,0.3592,9.2546,0,9.2546
current replay from positions,2024-04-30,validation,summer-alpha,none,1,-0.4,0.6,-1.9212,-1.644,-0.2179,0.024,-0.2419
current replay from positions,2024-05-01,validation,summer-alpha,none,1,-0.4,0.6,-2.9633,-0.4009,0.9448,0,0.9448
current replay from positions,2024-05-02,validation,summer-alpha,none,1,-0.4,0.6,5.3313,0.9999,-1.5326,0,-1.5326
current replay from positions,2024-05-03,validation,summer-alpha,,1,0,1,5.258,1.3968,1.3968,0.0128,1.384
current replay from positions,2024-05-06,validation,summer-alpha,none,1,-0.4,0.6,2.4743,1.0289,-0.3724,0.0128,-0.3852
current replay from positions,2024-05-07,validation,summer-alpha,none,1,-0.4,0.6,0.5467,0.1146,-0.1499,0,-0.1499
current replay from positions,2024-05-08,validation,summer-alpha,none,1,-0.5,0.5,-0.9062,-0.0088,0.4487,0.0032,0.4455
current replay from positions,2024-05-09,validation,summer-alpha,,1,0,1,5.2126,0.5035,0.5035,0.016,0.4875
current replay from positions,2024-05-10,validation,summer-alpha,,1,0,1,-2.1295,0.145,0.145,0,0.145
current replay from positions,2024-05-13,validation,summer-alpha,,1,0.35,0.65,5.7282,0.0534,2.0396,0.0112,2.0284
current replay from positions,2024-05-14,validation,summer-alpha,,1,0.35,0.65,-1.554,0.5066,-0.2146,0,-0.2146
current replay from positions,2024-05-15,validation,summer-alpha,,1,0.35,0.65,3.0717,1.2852,1.9105,0,1.9105
current replay from positions,2024-05-16,validation,summer-alpha,none,1,-0.2,0.8,3.2699,-0.1915,-0.8072,0.0176,-0.8248
current replay from positions,2024-05-17,validation,summer-alpha,none,1,-0.4,0.6,5.2505,0.1099,-2.0343,0.0064,-2.0407
current replay from positions,2024-05-20,validation,summer-alpha,none,1,-0.4,0.6,4.7601,0.2177,-1.7734,0,-1.7734
current replay from positions,2024-05-21,validation,summer-alpha,none,1,-0.4,0.6,-2.908,0.2547,1.316,0,1.316
current replay from positions,2024-05-22,validation,summer-alpha,,1,0,1,6.4021,-0.2379,-0.2379,0.0128,-0.2507
current replay from positions,2024-05-23,validation,summer-alpha,none,1,-0.4,0.6,-6.5095,-0.682,2.1946,0.0128,2.1818
current replay from positions,2024-05-24,validation,summer-alpha,,1,0,1,-5.1562,0.7351,0.7351,0.0128,0.7223
current replay from positions,2024-05-28,validation,summer-alpha,,1,0,1,2.7778,0.1384,0.1384,0,0.1384
current replay from positions,2024-05-29,validation,summer-alpha,,1,0.35,0.65,-3.7452,-0.7007,-1.7663,0.0112,-1.7775
current replay from positions,2024-05-30,validation,summer-alpha,,1,0.35,0.65,3.1689,-0.7536,0.6193,0,0.6193
current replay from positions,2024-05-31,validation,summer-alpha,,1,0.35,0.65,0.5832,0.6982,0.658,0,0.658
current replay from positions,2024-06-03,validation,summer-alpha,,1,0,1,6.5327,0.1542,0.1542,0.0112,0.143
current replay from positions,2024-06-04,validation,summer-alpha,none,1,-0.5,0.5,-6.1684,0.1488,3.1586,0.016,3.1426
current replay from positions,2024-06-05,validation,summer-alpha,,1,0,1,6.6125,1.3591,1.3591,0.016,1.3431
current replay from positions,2024-06-06,validation,summer-alpha,,1,0,1,2.3214,-0.021,-0.021,0,-0.021
current replay from positions,2024-06-07,validation,summer-alpha,,1,0,1,3.4385,-0.122,-0.122,0,-0.122
current replay from positions,2024-06-10,validation,summer-alpha,,1,0,1,-0.4112,0.3412,0.3412,0,0.3412
current replay from positions,2024-06-11,validation,summer-alpha,,1,0.35,0.65,7.6738,0.32,2.8938,0.0112,2.8826
current replay from positions,2024-06-12,validation,summer-alpha,,1,0.35,0.65,-2.6846,0.9248,-0.3385,0,-0.3385
current replay from positions,2024-06-13,validation,summer-alpha,,1,0.35,0.65,-2.8243,0.2628,-0.8177,0,-0.8177
current replay from positions,2024-06-14,validation,summer-alpha,,1,0,1,-2.636,0.1671,0.1671,0.0112,0.1559
current replay from positions,2024-06-17,validation,summer-alpha,,1,0,1,-3.228,0.8803,0.8803,0,0.8803
current replay from positions,2024-06-18,validation,summer-alpha,,1,0,1,4.34,0.2192,0.2192,0,0.2192
current replay from positions,2024-06-20,validation,summer-alpha,,1,0,1,-5.7752,-0.3774,-0.3774,0,-0.3774
current replay from positions,2024-06-21,validation,summer-alpha,,1,0,1,-1.3134,-0.2335,-0.2335,0,-0.2335
current replay from positions,2024-06-24,validation,summer-alpha,,1,0,1,3.9187,-0.4353,-0.4353,0,-0.4353
current replay from positions,2024-06-25,validation,summer-alpha,,1,0,1,-1.9566,0.5602,0.5602,0,0.5602
current replay from positions,2024-06-26,validation,summer-alpha,,1,0,1,-4.6444,0.1327,0.1327,0,0.1327
current replay from positions,2024-06-27,validation,summer-alpha,,1,0,1,2.1689,0.1736,0.1736,0,0.1736
current replay from positions,2024-06-28,validation,summer-alpha,,1,0,1,-3.1285,-0.4175,-0.4175,0,-0.4175
current replay from positions,2024-07-01,validation,summer-alpha,,1,0,1,-4.729,0.3077,0.3077,0,0.3077
current replay from positions,2024-07-02,validation,summer-alpha,,1,0,1,-1.7353,0.7274,0.7274,0,0.7274
current replay from positions,2024-07-03,validation,summer-alpha,,1,0,1,-0.6982,0.5272,0.5272,0,0.5272
current replay from positions,2024-07-05,validation,summer-alpha,,1,0,1,-4.0943,0.6891,0.6891,0,0.6891
current replay from positions,2024-07-08,validation,summer-alpha,,1,0.35,0.65,2.0267,0.1268,0.7918,0.0112,0.7806
current replay from positions,2024-07-09,validation,summer-alpha,,1,0.35,0.65,-0.9298,0.1024,-0.2589,0,-0.2589
current replay from positions,2024-07-10,validation,summer-alpha,,1,0.35,0.65,-0.6399,0.9803,0.4132,0,0.4132
current replay from positions,2024-07-11,validation,summer-alpha,,1,0,1,-2.6192,-1.1261,-1.1261,0.0112,-1.1373
current replay from positions,2024-07-12,validation,summer-alpha,,1,0,1,2.6896,0.6159,0.6159,0,0.6159
current replay from positions,2024-07-15,validation,summer-alpha,,1,0,1,-7.3422,0.2946,0.2946,0,0.2946
current replay from positions,2024-07-16,validation,summer-alpha,,1,0,1,1.3902,0.46,0.46,0,0.46
current replay from positions,2024-07-17,validation,summer-alpha,,1,0,1,-6.9927,-1.701,-1.701,0,-1.701
current replay from positions,2024-07-18,validation,summer-alpha,,1,0,1,4.4226,-0.7027,-0.7027,0,-0.7027
current replay from positions,2024-07-19,validation,summer-alpha,,1,0,1,0.1412,-0.7103,-0.7103,0,-0.7103
current replay from positions,2024-07-22,validation,summer-alpha,,1,0,1,5.7801,1.1305,1.1305,0,1.1305
current replay from positions,2024-07-23,validation,summer-alpha,,1,0,1,-2.8432,-0.2049,-0.2049,0,-0.2049
current replay from positions,2024-07-24,validation,summer-alpha,,1,0.35,0.65,-3.2007,-2.5452,-2.7746,0.0112,-2.7858
current replay from positions,2024-07-25,validation,summer-alpha,,1,0.35,0.65,-3.59,-0.6313,-1.6668,0,-1.6668
current replay from positions,2024-07-26,validation,summer-alpha,,1,0.35,0.65,-1.7148,1.1095,0.121,0,0.121
current replay from positions,2024-07-29,validation,summer-alpha,,1,0,1,-4.9352,0.0969,0.0969,0.0112,0.0857
current replay from positions,2024-07-30,validation,summer-alpha,,1,0,1,11.484,-0.6931,-0.6931,0,-0.6931
current replay from positions,2024-07-31,validation,summer-alpha,none,1,-0.4,0.6,-4.2333,1.8419,2.7985,0.0128,2.7857
current replay from positions,2024-08-01,validation,summer-alpha,,1,0,1,-3.3399,-1.5628,-1.5628,0.0128,-1.5756
current replay from positions,2024-08-02,validation,summer-alpha,none,1,-0.5,0.5,-0.0508,-1.9399,-0.9445,0.016,-0.9605
current replay from positions,2024-08-05,validation,summer-alpha,,1,0,1,-1.271,-2.9772,-2.9772,0.016,-2.9932
current replay from positions,2024-08-06,validation,summer-alpha,,1,0,1,3.5015,0.9719,0.9719,0,0.9719
current replay from positions,2024-08-07,validation,summer-alpha,,1,0,1,5.0746,-0.7739,-0.7739,0,-0.7739
current replay from positions,2024-08-08,validation,summer-alpha,,1,0,1,0.7102,2.4734,2.4734,0,2.4734
current replay from positions,2024-08-09,validation,summer-alpha,,1,0,1,0.7522,0.448,0.448,0,0.448
current replay from positions,2024-08-12,validation,summer-alpha,,1,0,1,2.1465,0.0915,0.0915,0,0.0915
current replay from positions,2024-08-13,validation,summer-alpha,,1,0,1,-1.873,1.8207,1.8207,0,1.8207
