scenario,date,split,componentVariant,sourceAction,optimizedLiveAction,optimizedLiveScale,position,indexFraction,ungReturnPct,indexReturnPct,grossReturnPct,tradingCostPct,returnPct,equity,equityPct
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-09-26,holdout,summer-alpha,none,none,1,-0.4,0.6,-2.376,0.5559,1.2839,0.024,1.2599,713501.68,613.5017
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-09-29,holdout,summer-alpha,,,1,0,1,15.2381,0.3153,0.3153,0.0128,0.3025,715660.02,615.66
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-09-30,holdout,summer-alpha,,,1,0,1,1.1019,0.3469,0.3469,0,0.3469,718142.65,618.1426
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-10-01,holdout,summer-alpha,,,1,0,1,5.2377,0.384,0.384,0,0.384,720900.31,620.9003
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-10-02,holdout,summer-alpha,,,1,0,1,-0.9781,0.1691,0.1691,0,0.1691,722119.36,622.1194
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-10-03,holdout,summer-alpha,,,1,0,1,-3.4282,-0.0745,-0.0745,0,-0.0745,721581.38,621.5814
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-10-06,holdout,summer-alpha,,,1,0,1,0.9928,0.422,0.422,0,0.422,724626.45,624.6265
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-10-07,holdout,summer-alpha,,,1,0,1,4.2002,-0.3906,-0.3906,0,-0.3906,721796.06,621.7961
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-10-08,holdout,summer-alpha,,,1,0,1,-4.717,0.6941,0.6941,0,0.6941,726806.05,626.806
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-10-09,holdout,summer-alpha,,,1,0,1,-1.9202,-0.2398,-0.2398,0,-0.2398,725063.17,625.0632
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-10-10,holdout,summer-alpha,,,1,0,1,-4.9862,-2.846,-2.846,0,-2.846,704427.87,604.4279
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-10-13,holdout,summer-alpha,,,1,0,1,0.3864,1.6376,1.6376,0,1.6376,715963.58,615.9636
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-10-14,holdout,summer-alpha,,,1,0,1,-2.8865,-0.2436,-0.2436,0,-0.2436,714219.49,614.2195
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-10-15,holdout,summer-alpha,,,1,0,1,-0.3963,0.4879,0.4879,0,0.4879,717704.17,617.7042
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-10-16,holdout,summer-alpha,,,1,0,1,-2.5862,-0.5996,-0.5996,0,-0.5996,713400.81,613.4008
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-10-17,holdout,summer-alpha,,,1,0,1,2.3826,0.5742,0.5742,0,0.5742,717497.16,617.4972
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-10-20,holdout,summer-alpha,,,1,0,1,12.9322,1.093,1.093,0,1.093,725339.41,625.3394
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-10-21,holdout,summer-alpha,,,1,0,1,2.2667,-0.0159,-0.0159,0,-0.0159,725224.08,625.2241
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-10-22,holdout,summer-alpha,,,1,0,1,-0.6908,-0.5976,-0.5976,0,-0.5976,720890.14,620.8901
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-10-23,holdout,summer-alpha,,,1,0,1,-3.0725,0.6231,0.6231,0,0.6231,725382,625.382
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-10-24,holdout,summer-alpha,,,1,0,1,-1.1962,0.8713,0.8713,0,0.8713,731702.26,631.7023
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-10-27,holdout,summer-alpha,,,1,0,1,4.1768,1.3164,1.3164,0,1.3164,741334.39,641.3344
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-10-28,holdout,summer-alpha,,,1,0,1,-2.8181,0.3685,0.3685,0,0.3685,744066.2,644.0662
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-10-29,holdout,summer-alpha,,,1,0,1,0.9268,0.1266,0.1266,0,0.1266,745008.19,645.0082
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-10-30,holdout,summer-alpha,,,1,0,1,17.1801,-1.1604,-1.1604,0,-1.1604,736363.12,636.3631
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-10-31,holdout,summer-alpha,,,1,0,1,4.2467,0.3265,0.3265,0,0.3265,738767.34,638.7673
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-11-03,holdout,summer-alpha,,,1,0,1,3.4433,0.255,0.255,0,0.255,740651.2,640.6512
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-11-04,holdout,summer-alpha,,,1,0,1,1.805,-1.3328,-1.3328,0,-1.3328,730779.8,630.7798
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-11-05,holdout,summer-alpha,,,1,0,1,-2.5558,0.3688,0.3688,0,0.3688,733474.91,633.4749
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-11-06,holdout,winter-alpha,confirm-scaled,confirm-scaled,1.1588,-0.2897,0.7103,3.9618,-1.2205,-2.0147,0.0093,-2.0239,718630.12,618.6301
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-11-07,holdout,winter-alpha,confirm-scaled,confirm-scaled,1.1315,-0.2829,0.7171,-1.5526,0.0232,0.4559,0.0002,0.4557,721904.91,621.9049
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-11-10,holdout,winter-alpha,no-reversion,no-reversion,1,0,1,1.0753,1.6821,1.6821,0.0091,1.673,733982.38,633.9824
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-11-11,holdout,summer-alpha,,,1,0,1,5.2328,0.1301,0.1301,0,0.1301,734937.29,634.9373
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-11-12,holdout,winter-alpha,missing-kept,missing-kept,1,-0.5625,0.4375,0.6181,0.0254,-0.3366,0.018,-0.3546,732331.21,632.3312
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-11-13,holdout,winter-alpha,missing-kept,missing-kept,1,-0.25,0.75,1.0922,-1.7118,-1.5569,0.01,-1.5669,720856.31,620.8563
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-11-14,holdout,winter-alpha,standalone-adverse-dropped,standalone-adverse-shrunk,0.5484,-0.1371,0.8629,-1.688,-0.0071,0.2253,0.0036,0.2217,722454.45,622.4544
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-11-17,holdout,winter-alpha,confirm-scaled,confirm-scaled,0.8712,-0.5616,0.4384,-3.022,-0.9189,1.2944,0.0136,1.2808,731707.64,631.7076
optimized live sb0.85-sd6-sx1.375-ab0.9-ad10-an0-ax0.9-drop4-stadverse-scale-n0.85,2025-11-18,holdout,winter-alpha,no-reversion,no-reversion,1,0,1,0.7082,-0.9018,-0.9018,0.018,-0.9198,724977.4,624.9774
