candidateId,rank,eligible,trainValidationScore,trainReturnPct,trainVsNonLivePct,trainVsCurrentLivePct,trainSharpe,trainMaxDrawdownPct,validationReturnPct,validationVsNonLivePct,validationVsCurrentLivePct,validationSharpe,validationMaxDrawdownPct,holdoutReturnPct,holdoutVsNonLivePct,holdoutVsCurrentLivePct,holdoutSharpe,holdoutMaxDrawdownPct,allReturnPct,allVsNonLivePct,allVsCurrentLivePct,allSharpe,allMaxDrawdownPct,sameBase,sameDivisor,sameMax,adverseBase,adverseDivisor,adverseMin,adverseMax,adverseDropThresholdF,standaloneMode,neutralScale,missingScale,actionCounts
sb0.75-sd10-sx1.125-ab0.9-ad8-an0.25-ax0.75-dropinf-stadverse-scale-n0.85,5177,true,18.9939,190.34,11.6,4.05,1.66,-15.86,69.26,1.91,-1.49,2.6,-9.57,98.75,-3.82,-1.15,2.37,-16.72,876.71,31.74,-0.49,2.01,-15.86,0.75,10,1.125,0.9,8,0.25,0.75,Infinity,adverse-scale,0.85,1,adverse-shrunk:44|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-shrunk:10
sb0.75-sd8-sx1.25-ab0.9-ad8-an0.45-ax0.75-dropinf-stdrop-n0.85,5178,true,18.989,185.24,6.5,-1.05,1.64,-15.86,70.75,3.4,0,2.64,-9.57,99.65,-2.92,-0.25,2.38,-16.72,872.35,27.38,-4.85,2,-15.86,0.75,8,1.25,0.9,8,0.45,0.75,Infinity,drop,0.85,1,adverse-shrunk:44|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-dropped:10
sb0.75-sd10-sx1.125-ab0.8-ad10-an0-ax0.9-drop4-stkeep-base-n0.85,5179,true,18.988,194.73,15.99,8.44,1.69,-15.86,67.98,0.63,-2.77,2.56,-9.57,97.44,-5.13,-2.46,2.35,-16.73,877.52,32.55,0.32,2.01,-15.86,0.75,10,1.125,0.8,10,0,0.9,4,keep-base,0.85,1,adverse-dropped:20|adverse-shrunk:24|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-kept:10
sb0.75-sd10-sx1.125-ab0.8-ad10-an0.25-ax0.9-drop4-stkeep-base-n0.85,5180,true,18.988,194.73,15.99,8.44,1.69,-15.86,67.98,0.63,-2.77,2.56,-9.57,97.44,-5.13,-2.46,2.35,-16.73,877.52,32.55,0.32,2.01,-15.86,0.75,10,1.125,0.8,10,0.25,0.9,4,keep-base,0.85,1,adverse-dropped:20|adverse-shrunk:24|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-kept:10
sb0.75-sd8-sx1.25-ab0.8-ad12-an0.45-ax0.75-dropinf-stdrop-n0.85,5181,true,18.9813,185.23,6.49,-1.06,1.64,-15.86,70.75,3.4,0,2.64,-9.57,99.45,-3.12,-0.45,2.38,-16.72,871.38,26.41,-5.82,2,-15.86,0.75,8,1.25,0.8,12,0.45,0.75,Infinity,drop,0.85,1,adverse-shrunk:44|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-dropped:10
sb0.75-sd10-sx1.125-ab0.9-ad8-an0.25-ax0.75-drop6-stkeep-base-n0.85,5182,true,18.9803,194.72,15.98,8.43,1.69,-15.86,67.98,0.63,-2.77,2.56,-9.57,97.75,-4.82,-2.15,2.35,-16.73,879.02,34.05,1.82,2.01,-15.86,0.75,10,1.125,0.9,8,0.25,0.75,6,keep-base,0.85,1,adverse-dropped:11|adverse-shrunk:33|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-kept:10
sb0.85-sd8-sx1.125-ab0.8-ad12-an0-ax0.9-dropinf-stkeep-base-n0.85,5183,true,18.9779,193.14,14.4,6.85,1.68,-15.86,68.46,1.11,-2.29,2.57,-9.57,98.57,-4,-1.33,2.36,-16.73,880.58,35.61,3.38,2.01,-15.86,0.85,8,1.125,0.8,12,0,0.9,Infinity,keep-base,0.85,1,adverse-shrunk:44|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-kept:10
sb0.75-sd10-sx1.125-ab0.8-ad8-an0-ax0.9-drop6-stkeep-base-n0.85,5184,true,18.9726,194.71,15.97,8.42,1.69,-15.86,67.98,0.63,-2.77,2.56,-9.57,97.13,-5.44,-2.77,2.34,-16.73,875.92,30.95,-1.28,2.01,-15.86,0.75,10,1.125,0.8,8,0,0.9,6,keep-base,0.85,1,adverse-dropped:11|adverse-shrunk:33|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-kept:10
sb0.75-sd10-sx1.25-ab0.9-ad10-an0.45-ax0.75-drop6-stkeep-base-n0.85,5185,true,18.9726,193.9,15.16,7.61,1.68,-15.86,68.21,0.86,-2.54,2.57,-9.57,97.65,-4.92,-2.25,2.34,-16.73,877.14,32.17,-0.06,2.01,-15.86,0.75,10,1.25,0.9,10,0.45,0.75,6,keep-base,0.85,1,adverse-dropped:11|adverse-shrunk:33|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-kept:10
sb0.75-sd10-sx1.125-ab0.9-ad10-an0.25-ax0.75-dropinf-stadverse-scale-n0.85,5186,true,18.9686,190.43,11.69,4.14,1.66,-15.86,69.22,1.87,-1.53,2.6,-9.57,98.95,-3.62,-0.95,2.37,-16.72,877.78,32.81,0.58,2.01,-15.86,0.75,10,1.125,0.9,10,0.25,0.75,Infinity,adverse-scale,0.85,1,adverse-shrunk:44|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-shrunk:10
sb0.75-sd10-sx1.375-ab0.8-ad8-an0.45-ax0.75-drop4-stkeep-base-n0.85,5187,true,18.9671,193.77,15.03,7.48,1.68,-15.86,68.25,0.9,-2.5,2.57,-9.57,96.51,-6.06,-3.39,2.33,-16.73,871.34,26.37,-5.86,2,-15.86,0.75,10,1.375,0.8,8,0.45,0.75,4,keep-base,0.85,1,adverse-dropped:20|adverse-shrunk:24|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-kept:10
sb0.85-sd10-sx1.25-ab0.8-ad12-an0.45-ax0.9-dropinf-stadverse-scale-n0.85,5188,true,18.9544,187.48,8.74,1.19,1.65,-15.86,70.09,2.74,-0.66,2.62,-9.57,99.34,-3.23,-0.56,2.37,-16.72,874.73,29.76,-2.47,2,-15.86,0.85,10,1.25,0.8,12,0.45,0.9,Infinity,adverse-scale,0.85,1,adverse-shrunk:44|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-shrunk:10
sb0.75-sd6-sx1.25-ab0.8-ad10-an0.45-ax0.9-dropinf-stadverse-scale-n0.85,5189,true,18.9533,186.3,7.56,0.01,1.64,-15.86,70.44,3.09,-0.31,2.63,-9.57,99.08,-3.49,-0.82,2.37,-16.72,871.47,26.5,-5.73,2,-15.86,0.75,6,1.25,0.8,10,0.45,0.9,Infinity,adverse-scale,0.85,1,adverse-shrunk:44|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-shrunk:10
sb0.75-sd10-sx1.375-ab0.9-ad12-an0.25-ax0.75-dropinf-stdrop-n0.85,5190,true,18.9352,187.64,8.9,1.35,1.65,-15.86,70.03,2.68,-0.72,2.62,-9.57,99.04,-3.53,-0.86,2.37,-16.72,873.47,28.5,-3.73,2,-15.86,0.75,10,1.375,0.9,12,0.25,0.75,Infinity,drop,0.85,1,adverse-shrunk:44|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-dropped:10
sb0.85-sd6-sx1.125-ab0.9-ad12-an0-ax0.9-dropinf-stkeep-base-n0.85,5191,true,18.9201,192.93,14.19,6.64,1.67,-15.86,68.47,1.12,-2.28,2.58,-9.57,99.48,-3.09,-0.42,2.37,-16.73,884.4,39.43,7.2,2.01,-15.86,0.85,6,1.125,0.9,12,0,0.9,Infinity,keep-base,0.85,1,adverse-shrunk:44|confirm-scaled:78|missing-kept:44|no-reversion:107|none:1084|standalone-adverse-kept:10
